date,downturn,광공업생산지수(전월비)(%),소매판매액지수(전월비)(%),소비재수입액(전월비)(%),소비자물가지수,농축수산물_물가,기타농산물_물가,내구재_물가,kospi전일대비월평균,kospi거래대금_m,kospi거래량_m,상장시가총액_m
2018-01,0,-0.2,1,2.1,98.106,92.106,100.976,99.686,4.498636364,7142576.591,375160.5455,1638788275
2018-02,0,0.3,0.1,2.4,98.855,96.765,103.595,99.489,-7.727777778,6886748.222,404512,1607400127
2018-03,1,0.4,1.3,0.7,98.751,93.794,101.234,100.208,0.8804761905,6883677.857,384709.7619,1628916156
2018-04,1,0.7,0.5,0,98.931,94.18,98.93,100.405,3.310952381,7812027,497135.7619,1638803401
2018-05,1,0.6,-0.2,-0.7,98.979,92.509,100.458,100.887,-3.639047619,9039654.81,639217.4762,1643732872
2018-06,1,1.2,-0.5,1.8,98.779,90.217,98.817,100.316,-5.098947368,7546209.263,497413.4737,1599775900
2018-07,1,0.4,0,0.9,98.59,90.771,97.184,99.567,-1.403181818,5510769.182,341343.5909,1527309146
2018-08,1,0.3,0.3,-0.6,99.462,99.166,100.345,99.459,1.255454545,5226406.636,282026.0909,1527952909
2018-09,1,-0.7,-0.5,-1.1,100.221,104.874,104.816,99.548,1.187647059,6069409.294,319601.5294,1542969296
2018-10,0,-0.2,-0.2,3,100.041,100.207,104.226,99.626,-14.92285714,6101581.952,334385.4762,1441967974
2018-11,1,-1,0.2,0.4,99.33,94.641,103.66,99.252,3.053181818,5292702,317225.3636,1396110029
2018-12,1,-0.7,0.9,1.8,98.988,94.7,104.986,99.144,-2.937894737,5249589.158,401677.8947,1371269442
2019-01,0,-0.8,1.3,0.1,98.884,94.406,106.158,99.902,7.445909091,5603161.364,429781.7273,1386157414
2019-02,1,-1.1,-0.8,-1.4,99.311,95.397,105.439,99.873,-0.5535294118,5618904.588,404856.1765,1458848751
2019-03,0,0.1,0.8,0.9,99.121,93.525,103.749,99.764,-2.7385,4921997.25,322902.8,1428377201
2019-04,1,0.2,-0.6,-0.7,99.481,94.801,102.399,100.523,2.86,5378292.227,440443.0455,1465638151
2019-05,1,1.2,1.3,3.9,99.652,93.634,103.692,99.873,-7.707142857,5382849,535375.8095,1384116389
2019-06,1,0.7,-0.8,-1.9,99.491,91.804,102.447,99.617,4.677894737,4600446.789,592457.1579,1401948766
2019-07,1,0.8,-0.4,0,99.187,90.511,100.773,99.991,-4.61173913,4429029.478,517780.5652,1386277749
2019-08,1,0.2,0.6,0.6,99.425,91.955,99.989,99.804,-2.702857143,4662803.333,498672.9048,1297011945
2019-09,1,0.5,0.2,2.6,99.794,96.32,98.429,99.755,5.013684211,4520648.368,453725.3158,1366227667
2019-10,1,-0.5,0.5,-0.3,100.041,96.421,96.707,100.001,0.9728571429,4421096.381,423066.2381,1382344362
2019-11,0,0.3,0.3,-3.3,99.481,92.064,95.365,98.976,0.2133333333,5317097.81,511316.619,1429027490
2019-12,1,0.7,1.4,0.9,99.719,93.953,96.1,99.085,5.4855,5065497.6,509437.6,1442768031
